modbusAddr,name,register,datatype,desc
400231,AutbusPADev51_slot0_var11.AutbusPADev51_slot0_var11,Holding Registers,USINT,OutData2
300768,AutbusPADev51_slot0_alarm1.AutbusPADev51_slot0_alarm1,Input Registers,USINT,alarm1
300769,AutbusPADev51_slot0_alarm2.AutbusPADev51_slot0_alarm2,Input Registers,USINT,alarm2
400232,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400233,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300770,null.null,Input Registers,UINT,undefined
300771,AutbusPADev52_slot0_var1.AutbusPADev52_slot0_var1,Input Registers,USINT,InData1
300772,AutbusPADev52_slot0_var2.AutbusPADev52_slot0_var2,Input Registers,UINT,InData2
300773,AutbusPADev52_slot0_var3.AutbusPADev52_slot0_var3,Input Registers,ULINT,timer
300777,AutbusPADev52_slot0_var4.AutbusPADev52_slot0_var4,Input Registers,UINT,year
300778,AutbusPADev52_slot0_var5.AutbusPADev52_slot0_var5,Input Registers,USINT,month
300779,AutbusPADev52_slot0_var6.AutbusPADev52_slot0_var6,Input Registers,USINT,day
300780,AutbusPADev52_slot0_var7.AutbusPADev52_slot0_var7,Input Registers,USINT,hour
300781,AutbusPADev52_slot0_var8.AutbusPADev52_slot0_var8,Input Registers,USINT,minute
300782,AutbusPADev52_slot0_var9.AutbusPADev52_slot0_var9,Input Registers,USINT,second
400234,AutbusPADev52_slot0_var10.AutbusPADev52_slot0_var10,Holding Registers,USINT,OutData1
400235,AutbusPADev52_slot0_var11.AutbusPADev52_slot0_var11,Holding Registers,USINT,OutData2
300783,AutbusPADev52_slot0_alarm1.AutbusPADev52_slot0_alarm1,Input Registers,USINT,alarm1
300784,AutbusPADev52_slot0_alarm2.AutbusPADev52_slot0_alarm2,Input Registers,USINT,alarm2
400236,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400237,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300785,null.null,Input Registers,UINT,undefined
300786,AutbusPADev53_slot0_var1.AutbusPADev53_slot0_var1,Input Registers,USINT,InData1
300787,AutbusPADev53_slot0_var2.AutbusPADev53_slot0_var2,Input Registers,UINT,InData2
300788,AutbusPADev53_slot0_var3.AutbusPADev53_slot0_var3,Input Registers,ULINT,timer
300792,AutbusPADev53_slot0_var4.AutbusPADev53_slot0_var4,Input Registers,UINT,year
300793,AutbusPADev53_slot0_var5.AutbusPADev53_slot0_var5,Input Registers,USINT,month
300794,AutbusPADev53_slot0_var6.AutbusPADev53_slot0_var6,Input Registers,USINT,day
300795,AutbusPADev53_slot0_var7.AutbusPADev53_slot0_var7,Input Registers,USINT,hour
300796,AutbusPADev53_slot0_var8.AutbusPADev53_slot0_var8,Input Registers,USINT,minute
300797,AutbusPADev53_slot0_var9.AutbusPADev53_slot0_var9,Input Registers,USINT,second
400238,AutbusPADev53_slot0_var10.AutbusPADev53_slot0_var10,Holding Registers,USINT,OutData1
400239,AutbusPADev53_slot0_var11.AutbusPADev53_slot0_var11,Holding Registers,USINT,OutData2
300798,AutbusPADev53_slot0_alarm1.AutbusPADev53_slot0_alarm1,Input Registers,USINT,alarm1
300799,AutbusPADev53_slot0_alarm2.AutbusPADev53_slot0_alarm2,Input Registers,USINT,alarm2
400240,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400241,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300800,null.null,Input Registers,UINT,undefined
300801,AutbusPADev54_slot0_var1.AutbusPADev54_slot0_var1,Input Registers,USINT,InData1
300802,AutbusPADev54_slot0_var2.AutbusPADev54_slot0_var2,Input Registers,UINT,InData2
300803,AutbusPADev54_slot0_var3.AutbusPADev54_slot0_var3,Input Registers,ULINT,timer
300807,AutbusPADev54_slot0_var4.AutbusPADev54_slot0_var4,Input Registers,UINT,year
300808,AutbusPADev54_slot0_var5.AutbusPADev54_slot0_var5,Input Registers,USINT,month
300809,AutbusPADev54_slot0_var6.AutbusPADev54_slot0_var6,Input Registers,USINT,day
300810,AutbusPADev54_slot0_var7.AutbusPADev54_slot0_var7,Input Registers,USINT,hour
300811,AutbusPADev54_slot0_var8.AutbusPADev54_slot0_var8,Input Registers,USINT,minute
300812,AutbusPADev54_slot0_var9.AutbusPADev54_slot0_var9,Input Registers,USINT,second
400242,AutbusPADev54_slot0_var10.AutbusPADev54_slot0_var10,Holding Registers,USINT,OutData1
400243,AutbusPADev54_slot0_var11.AutbusPADev54_slot0_var11,Holding Registers,USINT,OutData2
300813,AutbusPADev54_slot0_alarm1.AutbusPADev54_slot0_alarm1,Input Registers,USINT,alarm1
300814,AutbusPADev54_slot0_alarm2.AutbusPADev54_slot0_alarm2,Input Registers,USINT,alarm2
400244,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400245,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300815,null.null,Input Registers,UINT,undefined
300816,AutbusPADev55_slot0_var1.AutbusPADev55_slot0_var1,Input Registers,USINT,InData1
300817,AutbusPADev55_slot0_var2.AutbusPADev55_slot0_var2,Input Registers,UINT,InData2
300818,AutbusPADev55_slot0_var3.AutbusPADev55_slot0_var3,Input Registers,ULINT,timer
300822,AutbusPADev55_slot0_var4.AutbusPADev55_slot0_var4,Input Registers,UINT,year
300823,AutbusPADev55_slot0_var5.AutbusPADev55_slot0_var5,Input Registers,USINT,month
300824,AutbusPADev55_slot0_var6.AutbusPADev55_slot0_var6,Input Registers,USINT,day
300825,AutbusPADev55_slot0_var7.AutbusPADev55_slot0_var7,Input Registers,USINT,hour
300826,AutbusPADev55_slot0_var8.AutbusPADev55_slot0_var8,Input Registers,USINT,minute
300827,AutbusPADev55_slot0_var9.AutbusPADev55_slot0_var9,Input Registers,USINT,second
400246,AutbusPADev55_slot0_var10.AutbusPADev55_slot0_var10,Holding Registers,USINT,OutData1
400247,AutbusPADev55_slot0_var11.AutbusPADev55_slot0_var11,Holding Registers,USINT,OutData2
300828,AutbusPADev55_slot0_alarm1.AutbusPADev55_slot0_alarm1,Input Registers,USINT,alarm1
300829,AutbusPADev55_slot0_alarm2.AutbusPADev55_slot0_alarm2,Input Registers,USINT,alarm2
400248,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400249,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300830,null.null,Input Registers,UINT,undefined
300831,AutbusPADev56_slot0_var1.AutbusPADev56_slot0_var1,Input Registers,USINT,InData1
300832,AutbusPADev56_slot0_var2.AutbusPADev56_slot0_var2,Input Registers,UINT,InData2
300833,AutbusPADev56_slot0_var3.AutbusPADev56_slot0_var3,Input Registers,ULINT,timer
300837,AutbusPADev56_slot0_var4.AutbusPADev56_slot0_var4,Input Registers,UINT,year
300838,AutbusPADev56_slot0_var5.AutbusPADev56_slot0_var5,Input Registers,USINT,month
300839,AutbusPADev56_slot0_var6.AutbusPADev56_slot0_var6,Input Registers,USINT,day
300840,AutbusPADev56_slot0_var7.AutbusPADev56_slot0_var7,Input Registers,USINT,hour
300841,AutbusPADev56_slot0_var8.AutbusPADev56_slot0_var8,Input Registers,USINT,minute
300842,AutbusPADev56_slot0_var9.AutbusPADev56_slot0_var9,Input Registers,USINT,second
400250,AutbusPADev56_slot0_var10.AutbusPADev56_slot0_var10,Holding Registers,USINT,OutData1
400251,AutbusPADev56_slot0_var11.AutbusPADev56_slot0_var11,Holding Registers,USINT,OutData2
300843,AutbusPADev56_slot0_alarm1.AutbusPADev56_slot0_alarm1,Input Registers,USINT,alarm1
300844,AutbusPADev56_slot0_alarm2.AutbusPADev56_slot0_alarm2,Input Registers,USINT,alarm2
400252,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400253,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300845,null.null,Input Registers,UINT,undefined
